Ensembl_ID	Control_3D_R1	Control_3D_R2	Control_3D_R3	SP_3D_R1	SP_3D_R2	SP_3D_R3	SP_12D_R1	SP_12D_R2	SP_12D_R3
ENSG00000233399	0	0	0	0	0	0	0	0	0
ENSG00000090020	583	429	525	803	885	954	719	900	1105
ENSG00000225990	0	0	0	0	0	0	0	0	0
ENSG00000157978	473	377	440	454	486	516	471	565	717
ENSG00000226944	24	21	17	5	11	9	9	5	3
ENSG00000270282	0	1	1	0	1	0	1	0	0
ENSG00000130770	1366	878	1104	783	774	813	993	1157	1096
ENSG00000235131	0	0	0	0	0	0	0	0	0
ENSG00000229044	0	2	1	0	0	1	0	0	0
ENSG00000162512	1006	767	826	1553	1459	1607	1134	1453	2169
ENSG00000179840	0	0	0	0	0	0	0	0	0
ENSG00000272449	40	16	21	28	35	28	13	26	29
ENSG00000214973	7	7	6	6	7	5	6	8	5
ENSG00000158006	434	352	337	288	309	329	321	421	447
ENSG00000214812	0	0	0	0	0	0	0	1	2
ENSG00000142784	821	604	748	797	849	1015	719	994	1083
ENSG00000227950	1	0	1	0	1	1	0	1	1
ENSG00000126698	1584	1078	1266	1247	1178	1316	1248	1533	1389
ENSG00000229447	4	5	7	4	6	2	4	8	8
ENSG00000229607	0	0	0	0	0	0	0	0	0
ENSG00000229994	12	6	7	4	11	9	12	13	10
ENSG00000130766	940	642	802	300	292	328	385	519	493
ENSG00000168528	1086	794	1018	1479	1607	1605	1286	1616	1925
ENSG00000196581	1	0	3	1	0	0	0	0	0
ENSG00000169403	16	16	10	100	114	134	175	208	237
ENSG00000117676	691	435	600	923	940	952	848	1205	1111
ENSG00000225126	0	0	0	0	1	0	0	0	0
ENSG00000084628	12	3	17	42	59	50	25	40	50
ENSG00000060688	840	558	722	550	475	624	542	723	592
ENSG00000236335	0	0	0	0	0	0	0	0	0
ENSG00000171612	179	149	157	124	145	99	120	183	177
ENSG00000241169	1	0	1	0	1	1	2	1	1
ENSG00000227001	1	0	3	0	1	0	0	0	1
ENSG00000270927	0	0	0	0	0	0	0	0	0
ENSG00000162458	1147	897	1042	1044	1064	1103	1092	1441	1610
ENSG00000188910	20	9	20	37	37	25	139	177	77
ENSG00000230523	0	0	0	0	1	0	1	0	0
ENSG00000186056	90	61	65	29	27	33	21	30	54
ENSG00000116138	730	616	610	512	468	520	498	647	738
ENSG00000231207	0	0	0	0	0	0	0	0	0
ENSG00000142765	79	65	77	69	73	72	44	51	114
ENSG00000158161	370	305	291	372	365	400	319	479	444
ENSG00000270330	0	0	0	0	0	0	0	0	0
ENSG00000142684	0	0	0	0	0	0	0	0	0
ENSG00000234619	0	3	0	0	3	2	1	1	6
ENSG00000121769	13	7	11	8	2	7	8	25	14
ENSG00000157330	0	0	0	0	0	0	0	0	0
ENSG00000142627	4757	3662	4419	3661	3878	4106	5035	7237	5022
ENSG00000284668	0	0	0	0	0	0	0	0	2
ENSG00000233234	0	0	0	0	0	0	0	0	0
ENSG00000142632	254	162	241	197	212	255	182	227	294
ENSG00000234593	0	2	0	0	0	0	0	0	0
ENSG00000162490	0	0	3	21	21	21	24	13	30
ENSG00000158292	89	71	89	389	410	379	310	370	592
ENSG00000270605	41	26	18	22	17	27	27	37	46
ENSG00000238199	2	5	3	2	4	1	2	2	3
ENSG00000142733	399	295	344	159	186	196	208	230	260
ENSG00000189337	76	56	69	130	143	129	120	159	198
ENSG00000270601	0	0	0	0	0	0	0	0	0
ENSG00000233268	0	0	0	0	0	0	0	0	0
ENSG00000232912	2	0	2	1	0	1	0	1	5
ENSG00000235084	65	34	48	58	64	38	52	55	45
ENSG00000235143	0	0	0	0	0	0	0	0	2
ENSG00000225478	0	0	0	0	0	0	0	0	0
ENSG00000225077	24	19	23	29	22	26	12	41	35
ENSG00000028137	2	1	7	79	87	73	36	47	85
ENSG00000223944	0	0	0	0	0	0	1	0	0
ENSG00000238249	17	14	12	5	6	5	6	13	3
ENSG00000187952	17	14	15	15	15	10	3	7	14
ENSG00000237938	19	12	12	16	7	10	9	14	17
ENSG00000227409	1	0	1	1	2	0	0	2	0
ENSG00000204464	9	2	5	4	4	2	3	3	8
ENSG00000233372	0	0	0	0	0	0	0	0	0
ENSG00000162460	2	3	1	0	0	0	0	0	0
ENSG00000283259	0	0	0	0	0	0	0	0	0
ENSG00000142687	1604	1191	1401	1355	1330	1428	1079	1448	1858
ENSG00000284543	0	2	1	6	5	7	5	6	3
ENSG00000226166	0	0	0	0	0	0	0	0	0
ENSG00000130939	1192	1012	1035	954	892	953	838	1100	1097
ENSG00000236216	0	0	0	0	0	0	0	0	0
ENSG00000175147	30	29	22	55	63	64	34	46	105
ENSG00000236266	5	3	5	1	0	2	2	1	3
ENSG00000127472	0	0	0	0	0	0	0	0	0
ENSG00000231103	0	0	0	0	0	0	0	0	0
ENSG00000060656	1649	1240	1577	1728	1838	2067	1399	1641	2487
ENSG00000163867	192	166	138	147	118	119	152	190	225
ENSG00000232768	1	0	0	1	1	1	0	1	1
ENSG00000230214	0	0	0	0	0	0	0	0	0
ENSG00000189280	4	0	1	3	2	1	5	7	5
ENSG00000134698	386	331	269	281	271	283	252	314	453
ENSG00000134690	697	492	601	296	328	382	273	443	204
ENSG00000272420	11	14	6	9	6	8	6	4	14
ENSG00000224333	2	0	1	1	1	0	0	0	0
ENSG00000132881	95	59	95	84	90	82	76	111	125
ENSG00000273274	2	1	0	23	24	20	19	24	30
ENSG00000224321	55	43	52	28	38	39	50	81	52
ENSG00000116251	1876	1622	1351	1569	1599	1427	1642	2034	2255
ENSG00000272510	0	1	1	0	1	0	1	0	2
ENSG00000158286	628	472	520	369	318	421	333	405	651
ENSG00000236648	0	0	0	0	0	0	0	0	0
ENSG00000232273	2	6	2	2	4	2	4	3	2
ENSG00000009709	257	187	228	132	119	125	129	181	185
ENSG00000043514	427	346	308	292	318	292	280	348	365
ENSG00000186543	0	0	0	1	1	0	0	0	1
ENSG00000287396	0	0	0	0	0	0	0	0	0
ENSG00000162510	8	3	6	4	5	1	1	2	4
ENSG00000179002	0	0	0	0	0	0	1	0	0
ENSG00000223589	0	0	0	0	0	0	0	0	0
ENSG00000188984	0	0	0	0	0	0	0	0	0
ENSG00000229259	0	0	0	0	0	0	0	0	0
ENSG00000270171	0	0	0	1	0	0	2	0	1
ENSG00000158008	5	2	2	9	9	9	6	6	15
ENSG00000269732	0	0	0	0	0	0	0	0	0
ENSG00000130940	61	51	52	170	154	127	103	126	169
ENSG00000116771	373	285	265	115	110	108	149	183	172
ENSG00000237301	8	5	8	7	7	6	4	4	9
ENSG00000162585	687	484	563	486	508	520	545	693	769
ENSG00000163879	2	1	4	2	1	4	0	1	6
ENSG00000227527	2	1	1	3	5	1	0	1	2
ENSG00000228823	0	0	0	0	0	0	0	0	0
ENSG00000010803	588	463	487	420	420	465	422	504	631
ENSG00000169991	879	632	820	1124	1056	1167	964	1228	1170
ENSG00000116954	368	264	266	202	219	174	303	413	301
ENSG00000228589	41	47	16	37	21	15	33	26	28
ENSG00000163873	0	0	1	0	0	0	0	0	0
ENSG00000233431	1	1	0	0	0	0	0	0	0
ENSG00000117215	0	0	0	0	0	0	0	0	0
ENSG00000196449	281	243	244	202	175	164	223	317	233
ENSG00000250575	0	1	1	0	0	1	0	1	0
ENSG00000237700	0	0	0	0	0	0	0	0	0
ENSG00000116661	288	218	285	1203	1262	1273	1391	1510	2622
ENSG00000230163	0	0	0	0	0	0	0	0	0
ENSG00000227538	0	0	0	1	0	0	0	0	0
ENSG00000232208	4	6	6	3	1	2	1	1	5
ENSG00000162461	28	22	28	32	19	36	22	22	32
ENSG00000236500	0	0	0	0	0	0	0	0	0
ENSG00000044012	1	0	2	6	1	5	0	0	4
ENSG00000179051	4109	3185	3586	2168	2090	2196	2025	2766	2633
ENSG00000215895	15	10	6	6	12	5	9	19	6
ENSG00000231868	0	0	0	1	3	2	0	1	3
ENSG00000284650	0	0	0	0	0	0	0	0	0
ENSG00000237329	1	1	2	1	1	1	0	2	3
ENSG00000236948	0	0	0	0	0	0	0	0	0
ENSG00000270850	0	0	0	0	0	0	0	0	0
ENSG00000287510	0	0	0	0	0	0	0	1	0
ENSG00000126067	2438	1677	1966	1558	1603	1640	1597	2178	1778
ENSG00000274944	1	2	0	4	2	2	4	1	4
ENSG00000132906	423	262	346	272	266	285	265	347	378
ENSG00000197312	688	521	474	440	403	415	373	510	501
ENSG00000284748	0	0	0	0	0	0	0	0	0
ENSG00000272078	2	1	6	9	9	4	6	4	8
ENSG00000173660	2162	1390	1790	1767	1790	1982	2060	2616	2571
ENSG00000224592	0	0	0	0	0	1	0	0	1
ENSG00000233728	0	0	0	0	0	0	0	0	0
ENSG00000230451	0	0	0	0	0	0	0	0	0
ENSG00000231606	0	0	0	0	0	0	0	1	0
ENSG00000215900	0	0	0	0	0	0	0	0	0
ENSG00000092847	1122	883	965	962	937	1084	1000	1332	1376
ENSG00000284632	0	0	0	0	0	0	0	0	0
ENSG00000204510	0	0	0	0	0	0	0	0	0
ENSG00000241014	8	6	4	3	4	7	6	1	9
ENSG00000054118	4084	2950	3221	2677	2695	2742	2528	3337	3323
ENSG00000254553	0	0	0	0	0	0	0	0	0
ENSG00000230415	21	13	23	23	17	20	12	14	32
ENSG00000177181	218	148	171	212	194	231	94	122	227
ENSG00000284653	0	0	0	0	0	0	0	0	0
ENSG00000237749	0	0	0	1	0	0	0	1	0
ENSG00000224863	0	0	0	1	2	0	1	1	0
ENSG00000276747	0	0	0	0	0	0	0	0	0
ENSG00000284705	0	0	0	0	0	0	0	0	0
ENSG00000287828	1	0	0	0	0	0	0	0	0
ENSG00000228776	0	0	0	0	0	0	0	0	0
ENSG00000236009	0	0	0	0	0	0	0	0	0
ENSG00000228526	361	255	309	179	171	193	239	295	383
ENSG00000159339	1	0	0	0	1	0	0	0	0
ENSG00000284678	1	0	0	0	0	2	0	1	0
ENSG00000223814	0	0	0	0	0	0	0	0	0
ENSG00000197982	911	698	560	593	609	485	659	869	945
ENSG00000225158	0	0	0	0	0	0	0	0	0
ENSG00000261781	0	0	0	0	0	0	0	0	0
ENSG00000183317	156	110	144	165	164	187	176	235	299
ENSG00000250894	0	0	0	0	0	0	0	0	0
ENSG00000183386	138	118	134	160	189	177	146	165	260
ENSG00000284743	2	0	1	1	0	2	0	0	3
ENSG00000158315	112	88	86	74	87	75	110	123	157
ENSG00000229213	0	0	0	0	0	0	0	0	0
ENSG00000243749	101	76	70	60	61	48	62	90	82
ENSG00000204084	484	395	422	218	229	236	175	223	258
ENSG00000186973	9	11	6	16	10	12	8	4	20
ENSG00000271806	2	0	2	1	3	3	2	4	3
ENSG00000146463	1410	1235	1096	897	861	920	868	1109	1146
ENSG00000279214	0	0	0	0	0	0	0	0	0
ENSG00000183520	628	447	420	314	350	275	405	532	499
