"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000100191",12.826306414521,1.19205844960529,0.537577376557699,2.21746394395997,0.0265914043047681,0.0517532907782961
"ENSG00000133424",592.899330605572,0.303939948570952,0.0972822973335327,3.12430891232855,0.00178223240240951,0.00459446822603723
"ENSG00000183963",437.128067920618,0.299879695141794,0.108721107420422,2.75824724615954,0.0058112225816361,0.0134223473262144
"ENSG00000167065",76.7743315127209,0.104833403805099,0.208128626406246,0.503695265832752,0.614475535664052,0.704183233554719
"ENSG00000241484",31.577673469871,1.86814206849913,0.353366807275203,5.28669368496802,1.24546935415538e-07,6.31418949157799e-07
"ENSG00000128309",1938.38102732157,-0.121967255331515,0.0724203141473388,-1.68415805382138,0.0921511273361927,0.151830532718021
"ENSG00000279738",42.0270040418748,-0.173542925899085,0.287101258802535,-0.604465917784241,0.545533922037242,0.644190836697294
"ENSG00000278948",27.9724283758723,0.54562342240085,0.332648922853854,1.64023805554472,0.100955679579156,0.163785478677601
"ENSG00000128346",30.920352327453,0.791003137276119,0.319221089384654,2.47791628930562,0.0132152146346302,0.0278488562668336
"ENSG00000100142",611.586787574908,0.0467438635997715,0.117939453648823,0.396337800062702,0.691855845130571,0.768875588939527
"ENSG00000100151",342.8106967746,-0.312372903346389,0.119016649105824,-2.62461517521504,0.00867469483469717,0.0191248799577341
"ENSG00000272720",28.4973088179906,-0.545592246075306,0.352350219577922,-1.54843736646132,0.121517030610254,0.19125752540353
"ENSG00000279080",11.2026262638454,0.345210267638436,0.528550220161333,0.653126712411671,0.513674592501629,0.615929474277017
"ENSG00000128298",322.615367223374,-0.735036117094057,0.115986231625642,-6.33727043970588,2.33871283993954e-10,1.58652166779342e-09
"ENSG00000161179",801.442717767012,-0.484766421088153,0.0967687725780854,-5.00953363541924,5.4562090686194e-07,2.52347861774208e-06
"ENSG00000128228",905.741163441897,0.481124067605224,0.0914802648005629,5.25932088909152,1.44588384964774e-07,7.25436261539768e-07
"ENSG00000207751",9.96769927868173,0.74329833984077,0.569655953043734,1.30481975281614,0.191954231400837,0.27983302739721
"ENSG00000284630",10.0305112156873,0.625781561743114,0.551376681384973,1.13494382854793,0.256398854507266,0.354641725677853
"ENSG00000100023",844.962888814034,-0.429405704540159,0.0962831770087709,-4.45982068602745,8.20282525679104e-06,3.18016664587877e-05
"ENSG00000100027",30.5565234120405,-0.0290975600154008,0.330551790243865,-0.088027234685173,0.929855030011127,0.949220210231319
"ENSG00000185252",297.481801743676,-0.026392259186939,0.12377640579618,-0.213225283261163,0.831151248502925,0.876485035883527
"ENSG00000099910",403.816975180824,-0.167369781138528,0.125307432196967,-1.33567321749475,0.181656107040442,0.267411765467835
"ENSG00000215493",12.0570615514555,0.527182053011847,0.522074445082399,1.00978329427452,0.312599125593515,0.416070777396948
"ENSG00000099974",23.555263522432,-0.529546215899986,0.378236788578038,-1.40003889598044,0.16150167119152,0.242655774263132
"ENSG00000099991",1413.39509224602,-0.0324013614642836,0.0937414480832514,-0.345646052272503,0.729608731972476,0.798875093990068
